iter	Passed	Remaining
860	24675	3983
861	24700	3954
862	24725	3925
863	24749	3895
864	24770	3865
865	24792	3836
866	24812	3806
867	24834	3776
868	24855	3746
869	24876	3717
870	24897	3687
871	24918	3657
872	24940	3628
873	24961	3598
874	24983	3569
875	25003	3539
876	25025	3509
877	25046	3480
878	25068	3450
879	25090	3421
880	25112	3392
881	25133	3362
882	25154	3333
883	25176	3303
884	25199	3274
885	25220	3245
886	25242	3215
887	25263	3186
888	25284	3156
889	25305	3127
890	25326	3098
891	25348	3069
892	25370	3039
893	25392	3010
894	25413	2981
895	25435	2952
896	25458	2923
897	25480	2894
898	25500	2864
899	25523	2835
900	25544	2806
901	25565	2777
902	25586	2748
903	25607	2719
904	25627	2690
905	25647	2661
906	25669	2632
907	25690	2603
908	25711	2573
909	25732	2545
910	25757	2516
911	25780	2487
912	25801	2458
913	25822	2429
914	25844	2400
915	25865	2371
916	25887	2343
917	25907	2314
918	25927	2285
919	25950	2256
920	25971	2227
921	25992	2198
922	26013	2170
923	26033	2141
924	26054	2112
925	26074	2083
926	26095	2054
927	26116	2026
928	26137	1997
929	26158	1968
930	26179	1940
931	26202	1911
932	26226	1883
933	26246	1854
934	26267	1826
935	26288	1797
936	26308	1768
937	26330	1740
938	26352	1711
939	26370	1683
940	26389	1654
941	26411	1626
942	26434	1597
943	26455	1569
944	26477	1540
945	26497	1512
946	26519	1484
947	26539	1455
948	26560	1427
949	26580	1398
950	26602	1370
951	26625	1342
952	26645	1314
953	26666	1285
954	26685	1257
955	26713	1229
956	26740	1201
957	26768	1173
958	26796	1145
959	26825	1117
960	26853	1089
961	26881	1061
962	26906	1033
963	26931	1005
964	26956	977
965	26982	949
966	27008	921
967	27030	893
968	27057	865
969	27079	837
970	27102	809
971	27123	781
972	27144	753
973	27166	725
974	27187	697
975	27211	669
976	27231	641
977	27254	613
978	27275	585
979	27296	557
980	27317	529
981	27338	501
982	27359	473
983	27381	445
984	27401	417
985	27424	389
986	27446	361
987	27469	333
988	27490	305
989	27511	277
990	27531	250
991	27551	222
992	27572	194
993	27593	166
994	27614	138
995	27636	110
996	27656	83
997	27676	55
998	27696	27
999	27720	0
